revdisp;sali;sali0;sali1;irpp
64871.3984375;73493;73493.9759036;0.0;-8621.59960938
65165.1015625;73895;73895.5823293;0.0;-8729.90039062
65458.5;74297;74297.188755;0.0;-8838.5
65751.203125;74698;74698.7951807;0.0;-8946.79980469
66044.6015625;75100;75100.4016064;0.0;-9055.40039062
66338.0;75502;75502.0080321;0.0;-9164.0
66630.703125;75903;75903.6144578;0.0;-9272.29980469
66924.1015625;76305;76305.2208835;0.0;-9380.90039062
67217.1015625;76706;76706.8273092;0.0;-9488.90039062
67510.5;77108;77108.4337349;0.0;-9597.5
67803.8984375;77510;77510.0401606;0.0;-9706.09960938
68096.609375;77911;77911.6465863;0.0;-9814.40234375
68390.0;78313;78313.253012;0.0;-9923.0
68682.703125;78714;78714.8594378;0.0;-10031.2998047
68976.3984375;79116;79116.4658635;0.0;-10139.5996094
69269.796875;79518;79518.0722892;0.0;-10248.2001953
69562.5;79919;79919.6787149;0.0;-10356.5
69855.8984375;80321;80321.2851406;0.0;-10465.0996094
70148.6015625;80722;80722.8915663;0.0;-10573.4003906
70442.0;81124;81124.497992;0.0;-10682.0
70735.703125;81526;81526.1044177;0.0;-10790.2998047
71028.3984375;81927;81927.7108434;0.0;-10898.5996094
71321.796875;82329;82329.3172691;0.0;-11007.2001953
71614.5;82730;82730.9236948;0.0;-11115.5
71907.8984375;83132;83132.5301205;0.0;-11224.0996094
72201.296875;83534;83534.1365462;0.0;-11332.7001953
72494.296875;83935;83935.7429719;0.0;-11440.7001953
72787.703125;84337;84337.3493976;0.0;-11549.2998047
73080.3984375;84738;84738.9558233;0.0;-11657.5996094
73373.796875;85140;85140.562249;0.0;-11766.2001953
73667.203125;85542;85542.1686747;0.0;-11874.7998047
73959.8984375;85943;85943.7751004;0.0;-11983.0996094
74253.296875;86345;86345.3815261;0.0;-12091.7001953
74546.296875;86746;86746.9879518;0.0;-12199.7001953
74839.703125;87148;87148.5943775;0.0;-12308.2998047
75133.109375;87550;87550.2008032;0.0;-12416.9023438
75425.796875;87951;87951.8072289;0.0;-12525.2001953
75719.203125;88353;88353.4136546;0.0;-12633.7998047
76012.8984375;88755;88755.0200803;0.0;-12742.0996094
76305.59375;89156;89156.626506;0.0;-12850.3974609
76599.0;89558;89558.2329317;0.0;-12959.0
76891.703125;89959;89959.8393574;0.0;-13067.2998047
77185.1015625;90361;90361.4457831;0.0;-13175.9003906
77478.5;90763;90763.0522088;0.0;-13284.5
77771.203125;91164;91164.6586345;0.0;-13392.8027344
78064.90625;91566;91566.2650602;0.0;-13501.1025391
78357.6015625;91967;91967.8714859;0.0;-13609.4003906
78651.0;92369;92369.4779116;0.0;-13718.0
78944.3984375;92771;92771.0843373;0.0;-13826.5996094
79237.1015625;93172;93172.6907631;0.0;-13934.9003906
79530.5;93574;93574.2971888;0.0;-14043.5
79823.5078125;93975;93975.9036145;0.0;-14151.5019531
80116.8984375;94377;94377.5100402;0.0;-14260.0996094
80410.296875;94779;94779.1164659;0.0;-14368.7001953
80703.0;95180;95180.7228916;0.0;-14477.0
80996.40625;95582;95582.3293173;0.0;-14585.6025391
81289.1015625;95983;95983.935743;0.0;-14693.9003906
81582.5;96385;96385.5421687;0.0;-14802.5
81876.203125;96787;96787.1485944;0.0;-14910.7998047
82168.8984375;97188;97188.7550201;0.0;-15019.0996094
82462.296875;97590;97590.3614458;0.0;-15127.7001953
82755.0;97991;97991.9678715;0.0;-15236.0
83048.3984375;98393;98393.5742972;0.0;-15344.5996094
83342.1015625;98795;98795.1807229;0.0;-15452.9003906
83634.796875;99196;99196.7871486;0.0;-15561.2001953
83928.203125;99598;99598.3935743;0.0;-15669.8027344
84221.6015625;100000;100000.0;0.0;-15778.4003906
7783.88378906;401;0.0;401.606425703;0.0
8032.50390625;802;401.606425703;401.606425703;0.0
8281.74414062;1204;803.212851406;401.606425703;0.0
8530.36328125;1605;1204.81927711;401.606425703;0.0
8779.60351562;2007;1606.42570281;401.606425703;0.0
9028.84375;2409;2008.03212851;401.606425703;0.0
9277.46386719;2810;2409.63855422;401.606425703;0.0
9526.70410156;3212;2811.24497992;401.606425703;0.0
9775.32421875;3613;3212.85140562;401.606425703;0.0
10024.5634766;4015;3614.45783133;401.606425703;0.0
10273.8037109;4417;4016.06425703;401.606425703;0.0
10522.4238281;4818;4417.67068273;401.606425703;0.0
10771.6640625;5220;4819.27710843;401.606425703;0.0
11020.2841797;5621;5220.88353414;401.606425703;0.0
11269.5234375;6023;5622.48995984;401.606425703;0.0
11518.7636719;6425;6024.09638554;401.606425703;0.0
11767.3837891;6826;6425.70281124;401.606425703;0.0
12016.6230469;7228;6827.30923695;401.606425703;0.0
12265.2441406;7629;7228.91566265;401.606425703;0.0
12514.4833984;8031;7630.52208835;401.606425703;0.0
12763.7236328;8433;8032.12851406;401.606425703;0.0
13012.34375;8834;8433.73493976;401.606425703;0.0
13261.5839844;9236;8835.34136546;401.606425703;0.0
13510.203125;9637;9236.94779116;401.606425703;0.0
13759.4433594;10039;9638.55421687;401.606425703;0.0
14008.6835938;10441;10040.1606426;401.606425703;0.0
14257.3037109;10842;10441.7670683;401.606425703;0.0
14506.5439453;11244;10843.373494;401.606425703;0.0
14755.1640625;11645;11244.9799197;401.606425703;0.0
15004.4042969;12047;11646.5863454;401.606425703;0.0
15253.6425781;12449;12048.1927711;401.606425703;0.0
15502.2636719;12850;12449.7991968;401.606425703;0.0
15751.5039062;13252;12851.4056225;401.606425703;0.0
16000.7441406;13654;13253.0120482;401.606425703;0.0
16249.3632812;14055;13654.6184739;401.606425703;0.0
16498.6035156;14457;14056.2248996;401.606425703;0.0
16747.2265625;14858;14457.8313253;401.606425703;0.0
16996.4648438;15260;14859.437751;401.606425703;0.0
17245.7070312;15662;15261.0441767;401.606425703;0.0
17494.3261719;16063;15662.6506024;401.606425703;0.0
17743.5664062;16465;16064.2570281;401.606425703;0.0
17992.1855469;16866;16465.8634538;401.606425703;0.0
18241.4257812;17268;16867.4698795;401.606425703;0.0
18490.6660156;17670;17269.0763052;401.606425703;0.0
18739.2851562;18071;17670.6827309;401.606425703;0.0
18988.5273438;18473;18072.2891566;401.606425703;0.0
19237.1445312;18874;18473.8955823;401.606425703;0.0
19276.0019531;19276;18875.502008;401.606425703;0.0
19678.0;19678;19277.1084337;401.606425703;0.0
20079.0;20079;19678.7148594;401.606425703;0.0
20481.0;20481;20080.3212851;401.606425703;0.0
20861.0917969;20882;20481.9277108;401.606425703;-20.9075012207
21233.2265625;21284;20883.5341365;401.606425703;-50.7725219727
21605.3632812;21686;21285.1405622;401.606425703;-80.6374816895
21976.6621094;22087;21686.746988;401.606425703;-110.337493896
22348.796875;22489;22088.3534137;401.606425703;-140.202514648
22720.015625;22890;22489.9598394;401.606425703;-169.984985352
23092.1503906;23292;22891.5662651;401.606425703;-199.850006104
23464.2851562;23694;23293.1726908;401.606425703;-229.714996338
23835.5019531;24095;23694.7791165;401.606425703;-259.497497559
24207.7207031;24497;24096.3855422;401.606425703;-289.280029297
24578.9375;24898;24497.9919679;401.606425703;-319.0625
24951.0722656;25300;24899.5983936;401.606425703;-348.927459717
25323.2070312;25702;25301.2048193;401.606425703;-378.792510986
25694.4257812;26103;25702.811245;401.606425703;-408.574981689
26066.5605469;26505;26104.4176707;401.606425703;-438.440032959
26438.7773438;26907;26506.0240964;401.606425703;-468.222503662
26780.1601562;27308;26907.6305221;401.606425703;-527.83996582
27106.140625;27710;27309.2369478;401.606425703;-603.859985352
27431.328125;28111;27710.8433735;401.606425703;-679.669555664
27757.3125;28513;28112.4497992;401.606425703;-755.690429688
28083.2890625;28915;28514.0562249;401.606425703;-831.710021973
28408.6894531;29316;28915.6626506;401.606425703;-907.309936523
28734.6699219;29718;29317.2690763;401.606425703;-983.329956055
29074.2402344;30119;29718.875502;401.606425703;-1044.76000977
29425.5605469;30521;30120.4819277;401.606425703;-1095.43994141
29776.8808594;30923;30522.0883534;401.606425703;-1146.11999512
30127.3417969;31324;30923.6947791;401.606425703;-1196.66027832
30478.8007812;31726;31325.3012048;401.606425703;-1247.20031738
30829.2597656;32127;31726.9076305;401.606425703;-1297.73999023
31180.5839844;32529;32128.5140562;401.606425703;-1348.42053223
31531.9023438;32931;32530.1204819;401.606425703;-1399.10058594
31882.3574219;33332;32931.7269076;401.606425703;-1449.6394043
32233.6757812;33734;33333.3333333;401.606425703;-1500.31945801
32584.140625;34135;33734.939759;401.606425703;-1550.85998535
32935.6015625;34537;34136.5461847;401.606425703;-1601.40002441
33286.921875;34939;34538.1526104;401.606425703;-1652.07995605
33637.3789062;35340;34939.7590361;401.606425703;-1702.61999512
