revdisp;sali;sali0;sali1;irpp
48581.8945312;59036;59036.1445783;0.0;-10282.8125
48873.9179688;59437;59437.751004;0.0;-10390.8212891
49166.9375;59839;59839.3574297;0.0;-10498.8310547
49458.9570312;60240;60240.9638554;0.0;-10606.8388672
49751.6796875;60642;60642.5702811;0.0;-10715.1484375
50044.3984375;61044;61044.1767068;0.0;-10823.4570312
50336.421875;61445;61445.7831325;0.0;-10931.4658203
50629.1445312;61847;61847.3895582;0.0;-11039.7763672
50921.1640625;62248;62248.9959839;0.0;-11147.7832031
51213.890625;62650;62650.6024096;0.0;-11256.0957031
51506.6015625;63052;63052.2088353;0.0;-11364.4013672
51798.625;63453;63453.815261;0.0;-11472.4121094
52091.3515625;63855;63855.4216867;0.0;-11580.7207031
52384.0703125;64257;64257.0281124;0.0;-11689.0302734
52676.0898438;64658;64658.6345382;0.0;-11797.0390625
52968.8125;65060;65060.2409639;0.0;-11905.3496094
53260.8359375;65461;65461.8473896;0.0;-12013.3583984
53553.8515625;65863;65863.4538153;0.0;-12121.3652344
53846.5742188;66265;66265.060241;0.0;-12229.6748047
54138.5976562;66666;66666.6666667;0.0;-12337.6845703
54431.3203125;67068;67068.2730924;0.0;-12445.9941406
54723.3398438;67469;67469.8795181;0.0;-12554.0029297
55016.0703125;67871;67871.4859438;0.0;-12662.3144531
55308.78125;68273;68273.0923695;0.0;-12770.6191406
55600.8007812;68674;68674.6987952;0.0;-12878.6289062
55893.5273438;69076;69076.3052209;0.0;-12986.9404297
56185.5507812;69477;69477.9116466;0.0;-13094.9501953
56478.2734375;69879;69879.5180723;0.0;-13203.2597656
56770.9882812;70281;70281.124498;0.0;-13311.5664062
57063.015625;70682;70682.7309237;0.0;-13419.578125
57355.734375;71084;71084.3373494;0.0;-13527.8847656
57647.7578125;71485;71485.9437751;0.0;-13635.8964844
57940.46875;71887;71887.5502008;0.0;-13744.2011719
58233.5;72289;72289.1566265;0.0;-13852.2128906
58525.5195312;72690;72690.7630522;0.0;-13960.2226562
58818.234375;73092;73092.3694779;0.0;-14068.5292969
59110.265625;73493;73493.9759036;0.0;-14176.5410156
59402.9804688;73895;73895.5823293;0.0;-14284.8486328
59695.703125;74297;74297.188755;0.0;-14393.1582031
59987.7226562;74698;74698.7951807;0.0;-14501.1669922
60280.4453125;75100;75100.4016064;0.0;-14609.4765625
60573.1640625;75502;75502.0080321;0.0;-14717.7832031
60865.1875;75903;75903.6144578;0.0;-14825.7949219
61157.9101562;76305;76305.2208835;0.0;-14934.1044922
61449.9335938;76706;76706.8273092;0.0;-15042.1142578
61742.6484375;77108;77108.4337349;0.0;-15150.4208984
62035.3710938;77510;77510.0401606;0.0;-15258.7304688
62327.3984375;77911;77911.6465863;0.0;-15366.7421875
62620.4140625;78313;78313.253012;0.0;-15474.7490234
62912.4414062;78714;78714.8594378;0.0;-15582.7607422
63205.15625;79116;79116.4658635;0.0;-15691.0683594
63497.8828125;79518;79518.0722892;0.0;-15799.3769531
63753.5703125;79919;79919.6787149;0.0;-15943.71875
64006.578125;80321;80321.2851406;0.0;-16091.7412109
64258.9921875;80722;80722.8915663;0.0;-16239.3505859
64512.0;81124;81124.497992;0.0;-16387.3730469
64765.0078125;81526;81526.1044177;0.0;-16535.3964844
65017.4296875;81927;81927.7108434;0.0;-16683.0097656
65270.4375;82329;82329.3172691;0.0;-16831.03125
65522.8554688;82730;82730.9236948;0.0;-16978.6445312
65775.859375;83132;83132.5301205;0.0;-17126.6679688
66028.875;83534;83534.1365462;0.0;-17274.6914062
66281.2890625;83935;83935.7429719;0.0;-17422.3027344
66534.296875;84337;84337.3493976;0.0;-17570.3222656
66786.7109375;84738;84738.9558233;0.0;-17717.9355469
67040.1328125;85140;85140.562249;0.0;-17865.5527344
67293.140625;85542;85542.1686747;0.0;-18013.5722656
67545.5625;85943;85943.7751004;0.0;-18161.1835938
67798.5625;86345;86345.3815261;0.0;-18309.2070312
68050.984375;86746;86746.9879518;0.0;-18456.8203125
68303.9921875;87148;87148.5943775;0.0;-18604.8417969
68557.0;87550;87550.2008032;0.0;-18752.8652344
68809.4140625;87951;87951.8072289;0.0;-18900.4746094
69062.421875;88353;88353.4136546;0.0;-19048.4980469
69315.4296875;88755;88755.0200803;0.0;-19196.5214844
69567.8515625;89156;89156.626506;0.0;-19344.1328125
69820.859375;89558;89558.2329317;0.0;-19492.15625
70073.28125;89959;89959.8393574;0.0;-19639.7695312
70326.28125;90361;90361.4457831;0.0;-19787.7929688
70579.703125;90763;90763.0522088;0.0;-19935.4042969
70832.125;91164;91164.6586345;0.0;-20083.0175781
71075.9765625;91566;91566.2650602;0.0;-20226.0683594
71303.859375;91967;91967.8714859;0.0;-20359.4082031
71532.6796875;92369;92369.4779116;0.0;-20492.7109375
71761.09375;92771;92771.0843373;0.0;-20626.4179688
72009.3046875;93172;93172.6907631;0.0;-20771.8046875
72262.5;93574;93574.2971888;0.0;-20919.9550781
72515.109375;93975;93975.9036145;0.0;-21067.6992188
72768.296875;94377;94377.5100402;0.0;-21215.8476562
73021.8984375;94779;94779.1164659;0.0;-21363.5878906
73274.4921875;95180;95180.7228916;0.0;-21511.3261719
73527.6875;95582;95582.3293173;0.0;-21659.4804688
73780.296875;95983;95983.935743;0.0;-21807.2207031
74033.484375;96385;96385.5421687;0.0;-21955.3730469
74286.671875;96787;96787.1485944;0.0;-22103.5195312
74539.28125;97188;97188.7550201;0.0;-22251.2636719
74792.4765625;97590;97590.3614458;0.0;-22399.4160156
75045.078125;97991;97991.9678715;0.0;-22547.1523438
75298.265625;98393;98393.5742972;0.0;-22695.3046875
75551.4609375;98795;98795.1807229;0.0;-22843.4550781
75804.46875;99196;99196.7871486;0.0;-22990.7851562
76057.671875;99598;99598.3935743;0.0;-23138.9394531
76310.859375;100000;100000.0;0.0;-23287.0878906
8026.09667969;401;0.0;401.606425703;0.0
8273.95117188;802;401.606425703;401.606425703;0.0
8522.42382812;1204;803.212851406;401.606425703;0.0
8770.27832031;1605;1204.81927711;401.606425703;0.0
9018.75097656;2007;1606.42570281;401.606425703;0.0
9267.22363281;2409;2008.03212851;401.606425703;0.0
9515.078125;2810;2409.63855422;401.606425703;0.0
9763.54980469;3212;2811.24497992;401.606425703;0.0
10011.4042969;3613;3212.85140562;401.606425703;0.0
10259.8769531;4015;3614.45783133;401.606425703;0.0
10508.3496094;4417;4016.06425703;401.606425703;0.0
10756.2041016;4818;4417.67068273;401.606425703;0.0
11004.6767578;5220;4819.27710843;401.606425703;0.0
11252.53125;5621;5220.88353414;401.606425703;0.0
11501.0039062;6023;5622.48995984;401.606425703;0.0
11749.4765625;6425;6024.09638554;401.606425703;0.0
11997.3300781;6826;6425.70281124;401.606425703;0.0
12245.8027344;7228;6827.30923695;401.606425703;0.0
12493.6572266;7629;7228.91566265;401.606425703;0.0
12742.1289062;8031;7630.52208835;401.606425703;0.0
12990.6035156;8433;8032.12851406;401.606425703;0.0
13238.4570312;8834;8433.73493976;401.606425703;0.0
13486.9296875;9236;8835.34136546;401.606425703;0.0
13734.7851562;9637;9236.94779116;401.606425703;0.0
13983.2568359;10039;9638.55421687;401.606425703;0.0
14231.7294922;10441;10040.1606426;401.606425703;0.0
14479.5839844;10842;10441.7670683;401.606425703;0.0
14728.0566406;11244;10843.373494;401.606425703;0.0
14975.9101562;11645;11244.9799197;401.606425703;0.0
15224.3828125;12047;11646.5863454;401.606425703;0.0
15472.8574219;12449;12048.1927711;401.606425703;0.0
15720.7109375;12850;12449.7991968;401.606425703;0.0
15969.1816406;13252;12851.4056225;401.606425703;0.0
16217.6542969;13654;13253.0120482;401.606425703;0.0
16425.5683594;14055;13654.6184739;401.606425703;-39.9409484863
16598.28125;14457;14056.2248996;401.606425703;-115.700958252
16770.5859375;14858;14457.8313253;401.606425703;-191.251495361
16943.2988281;15260;14859.437751;401.606425703;-267.011657715
17116.0117188;15662;15261.0441767;401.606425703;-342.772094727
17288.3144531;16063;15662.6506024;401.606425703;-418.322418213
17461.0253906;16465;16064.2570281;401.606425703;-494.082580566
17633.3300781;16866;16465.8634538;401.606425703;-569.633178711
17806.2519531;17268;16867.4698795;401.606425703;-645.183105469
17978.9648438;17670;17269.0763052;401.606425703;-720.943115234
18151.2695312;18071;17670.6827309;401.606425703;-796.493896484
18323.9824219;18473;18072.2891566;401.606425703;-872.254272461
18496.2851562;18874;18473.8955823;401.606425703;-947.80456543
18671.5214844;19276;18875.502008;401.606425703;-1021.04333496
18869.484375;19678;19277.1084337;401.606425703;-1071.54992676
18895.2558594;20079;19678.7148594;401.606425703;-1121.91711426
19245.5117188;20481;20080.3212851;401.606425703;-1172.42382812
19594.9101562;20882;20481.9277108;401.606425703;-1222.79101562
19945.1640625;21284;20883.5341365;401.606425703;-1273.29736328
20295.4199219;21686;21285.1405622;401.606425703;-1323.80419922
20644.8183594;22087;21686.746988;401.606425703;-1374.17138672
20995.0742188;22489;22088.3534137;401.606425703;-1424.67810059
21344.4726562;22890;22489.9598394;401.606425703;-1475.04528809
21694.7265625;23292;22891.5662651;401.606425703;-1525.55187988
22044.984375;23694;23293.1726908;401.606425703;-1576.05883789
22394.3808594;24095;23694.7791165;401.606425703;-1626.42578125
22744.6367188;24497;24096.3855422;401.606425703;-1676.93261719
23094.0351562;24898;24497.9919679;401.606425703;-1727.29956055
23444.2890625;25300;24899.5983936;401.606425703;-1777.80615234
23794.5449219;25702;25301.2048193;401.606425703;-1828.31286621
24143.9433594;26103;25702.811245;401.606425703;-1878.68005371
24494.1972656;26505;26104.4176707;401.606425703;-1929.18664551
24844.4550781;26907;26506.0240964;401.606425703;-1979.69360352
25193.8515625;27308;26907.6305221;401.606425703;-2030.06054688
25544.109375;27710;27309.2369478;401.606425703;-2080.56738281
25893.5058594;28111;27710.8433735;401.606425703;-2130.93432617
26243.9023438;28513;28112.4497992;401.606425703;-2181.30126953
26594.15625;28915;28514.0562249;401.606425703;-2231.80786133
26943.5546875;29316;28915.6626506;401.606425703;-2282.17504883
27293.8105469;29718;29317.2690763;401.606425703;-2332.68164062
27638.0097656;30119;29718.875502;401.606425703;-2388.24755859
27929.7929688;30521;30120.4819277;401.606425703;-2496.15454102
28216.8476562;30923;30522.0883534;401.606425703;-2602.46411133
28508.8710938;31324;30923.6947791;401.606425703;-2710.47412109
28801.5917969;31726;31325.3012048;401.606425703;-2818.78271484
29093.6132812;32127;31726.9076305;401.606425703;-2926.79223633
29386.3359375;32529;32128.5140562;401.606425703;-3035.1015625
29679.0546875;32931;32530.1204819;401.606425703;-3143.41040039
29971.0742188;33332;32931.7269076;401.606425703;-3251.41796875
30263.796875;33734;33333.3333333;401.606425703;-3359.72729492
30555.8203125;34135;33734.939759;401.606425703;-3467.73779297
